cand,date,rcp
Fiorina,2016-01-16 00:00:00,2.8
Santorum,2016-01-16 00:00:00,0.0
Walker,2016-01-16 00:00:00,
Jindal,2016-01-16 00:00:00,
Perry,2016-01-16 00:00:00,
Graham,2016-01-16 00:00:00,
Pataki,2016-01-16 00:00:00,
Trump,2016-01-15 00:00:00,34.5
Cruz,2016-01-15 00:00:00,19.3
Rubio,2016-01-15 00:00:00,11.8
Carson,2016-01-15 00:00:00,9.0
Bush,2016-01-15 00:00:00,4.8
Christie,2016-01-15 00:00:00,3.5
Paul,2016-01-15 00:00:00,2.3
Kasich,2016-01-15 00:00:00,2.3
Huckabee,2016-01-15 00:00:00,1.8
Fiorina,2016-01-15 00:00:00,2.8
Santorum,2016-01-15 00:00:00,0.0
Walker,2016-01-15 00:00:00,
Jindal,2016-01-15 00:00:00,
Perry,2016-01-15 00:00:00,
Graham,2016-01-15 00:00:00,
Pataki,2016-01-15 00:00:00,
Trump,2016-01-14 00:00:00,34.5
Cruz,2016-01-14 00:00:00,19.3
Rubio,2016-01-14 00:00:00,11.8
Carson,2016-01-14 00:00:00,9.0
Bush,2016-01-14 00:00:00,4.8
Christie,2016-01-14 00:00:00,3.5
Paul,2016-01-14 00:00:00,2.3
Kasich,2016-01-14 00:00:00,2.3
Huckabee,2016-01-14 00:00:00,1.8
Fiorina,2016-01-14 00:00:00,2.8
Santorum,2016-01-14 00:00:00,0.0
Walker,2016-01-14 00:00:00,
Jindal,2016-01-14 00:00:00,
Perry,2016-01-14 00:00:00,
Graham,2016-01-14 00:00:00,
Pataki,2016-01-14 00:00:00,
Trump,2016-01-13 00:00:00,35.0
Cruz,2016-01-13 00:00:00,19.0
Rubio,2016-01-13 00:00:00,11.3
Carson,2016-01-13 00:00:00,8.0
Bush,2016-01-13 00:00:00,4.7
Christie,2016-01-13 00:00:00,3.0
Paul,2016-01-13 00:00:00,2.0
Kasich,2016-01-13 00:00:00,2.0
Huckabee,2016-01-13 00:00:00,2.0
Fiorina,2016-01-13 00:00:00,2.7
Santorum,2016-01-13 00:00:00,0.0
Walker,2016-01-13 00:00:00,
Jindal,2016-01-13 00:00:00,
Perry,2016-01-13 00:00:00,
Graham,2016-01-13 00:00:00,
Pataki,2016-01-13 00:00:00,
Trump,2016-01-12 00:00:00,35.0
Cruz,2016-01-12 00:00:00,19.0
Rubio,2016-01-12 00:00:00,11.3
Carson,2016-01-12 00:00:00,8.0
Bush,2016-01-12 00:00:00,4.7
Christie,2016-01-12 00:00:00,3.0
Paul,2016-01-12 00:00:00,2.0
Kasich,2016-01-12 00:00:00,2.0
Huckabee,2016-01-12 00:00:00,2.0
Fiorina,2016-01-12 00:00:00,2.7
Santorum,2016-01-12 00:00:00,0.0
Walker,2016-01-12 00:00:00,
Jindal,2016-01-12 00:00:00,
Perry,2016-01-12 00:00:00,
Graham,2016-01-12 00:00:00,
Pataki,2016-01-12 00:00:00,
Trump,2016-01-11 00:00:00,34.0
Cruz,2016-01-11 00:00:00,20.0
Rubio,2016-01-11 00:00:00,11.0
Carson,2016-01-11 00:00:00,9.5
Bush,2016-01-11 00:00:00,3.8
Christie,2016-01-11 00:00:00,4.3
Paul,2016-01-11 00:00:00,2.8
Kasich,2016-01-11 00:00:00,1.8
Huckabee,2016-01-11 00:00:00,1.3
Fiorina,2016-01-11 00:00:00,2.0
Santorum,2016-01-11 00:00:00,0.3
Walker,2016-01-11 00:00:00,
Jindal,2016-01-11 00:00:00,
Perry,2016-01-11 00:00:00,
Graham,2016-01-11 00:00:00,0.5
Pataki,2016-01-11 00:00:00,0.0
Trump,2016-01-10 00:00:00,34.0
Cruz,2016-01-10 00:00:00,20.7
Rubio,2016-01-10 00:00:00,11.7
Carson,2016-01-10 00:00:00,10.0
Bush,2016-01-10 00:00:00,3.7
Christie,2016-01-10 00:00:00,4.3
Paul,2016-01-10 00:00:00,2.7
Kasich,2016-01-10 00:00:00,1.7
Huckabee,2016-01-10 00:00:00,1.3
Fiorina,2016-01-10 00:00:00,2.0
Santorum,2016-01-10 00:00:00,0.3
Walker,2016-01-10 00:00:00,
Jindal,2016-01-10 00:00:00,
Perry,2016-01-10 00:00:00,
Graham,2016-01-10 00:00:00,0.5
Pataki,2016-01-10 00:00:00,0.0
Trump,2016-01-09 00:00:00,34.0
Cruz,2016-01-09 00:00:00,20.7
Rubio,2016-01-09 00:00:00,11.7
Carson,2016-01-09 00:00:00,10.0
Bush,2016-01-09 00:00:00,3.7
Christie,2016-01-09 00:00:00,4.3
Paul,2016-01-09 00:00:00,2.7
Kasich,2016-01-09 00:00:00,1.7
Huckabee,2016-01-09 00:00:00,1.3
Fiorina,2016-01-09 00:00:00,2.0
Santorum,2016-01-09 00:00:00,0.3
Walker,2016-01-09 00:00:00,
Jindal,2016-01-09 00:00:00,
Perry,2016-01-09 00:00:00,
Graham,2016-01-09 00:00:00,0.5
Pataki,2016-01-09 00:00:00,0.0
Trump,2016-01-08 00:00:00,34.0
Cruz,2016-01-08 00:00:00,20.7
Rubio,2016-01-08 00:00:00,11.7
Carson,2016-01-08 00:00:00,10.0
Bush,2016-01-08 00:00:00,3.7
Christie,2016-01-08 00:00:00,4.3
Paul,2016-01-08 00:00:00,2.7
Kasich,2016-01-08 00:00:00,1.7
Huckabee,2016-01-08 00:00:00,1.3
Fiorina,2016-01-08 00:00:00,2.0
Santorum,2016-01-08 00:00:00,0.3
Walker,2016-01-08 00:00:00,
Jindal,2016-01-08 00:00:00,
Perry,2016-01-08 00:00:00,
Graham,2016-01-08 00:00:00,0.5
Pataki,2016-01-08 00:00:00,0.0
Trump,2016-01-07 00:00:00,35.3
Cruz,2016-01-07 00:00:00,20.0
Rubio,2016-01-07 00:00:00,11.0
Carson,2016-01-07 00:00:00,9.7
Bush,2016-01-07 00:00:00,3.3
Christie,2016-01-07 00:00:00,4.7
Paul,2016-01-07 00:00:00,3.0
Kasich,2016-01-07 00:00:00,1.7
Huckabee,2016-01-07 00:00:00,1.3
Fiorina,2016-01-07 00:00:00,2.0
Santorum,2016-01-07 00:00:00,0.7
Walker,2016-01-07 00:00:00,
Jindal,2016-01-07 00:00:00,
Perry,2016-01-07 00:00:00,
Graham,2016-01-07 00:00:00,0.3
Pataki,2016-01-07 00:00:00,0.0
Trump,2016-01-06 00:00:00,35.3
Cruz,2016-01-06 00:00:00,20.0
Rubio,2016-01-06 00:00:00,11.0
Carson,2016-01-06 00:00:00,9.7
Bush,2016-01-06 00:00:00,3.3
Christie,2016-01-06 00:00:00,4.7
Paul,2016-01-06 00:00:00,3.0
Kasich,2016-01-06 00:00:00,1.7
Huckabee,2016-01-06 00:00:00,1.3
Fiorina,2016-01-06 00:00:00,2.0
Santorum,2016-01-06 00:00:00,0.7
Walker,2016-01-06 00:00:00,
Jindal,2016-01-06 00:00:00,
Perry,2016-01-06 00:00:00,
Graham,2016-01-06 00:00:00,0.3
Pataki,2016-01-06 00:00:00,0.0
Trump,2016-01-05 00:00:00,35.0
Cruz,2016-01-05 00:00:00,19.5
Rubio,2016-01-05 00:00:00,11.5
Carson,2016-01-05 00:00:00,8.8
Bush,2016-01-05 00:00:00,4.3
Christie,2016-01-05 00:00:00,4.8
Paul,2016-01-05 00:00:00,2.8
Kasich,2016-01-05 00:00:00,1.8
Huckabee,2016-01-05 00:00:00,2.0
Fiorina,2016-01-05 00:00:00,2.5
Santorum,2016-01-05 00:00:00,0.8
Walker,2016-01-05 00:00:00,
Jindal,2016-01-05 00:00:00,
Perry,2016-01-05 00:00:00,
Graham,2016-01-05 00:00:00,0.5
Pataki,2016-01-05 00:00:00,0.0
Trump,2016-01-04 00:00:00,35.0
Cruz,2016-01-04 00:00:00,19.5
Rubio,2016-01-04 00:00:00,11.5
Carson,2016-01-04 00:00:00,8.8
Bush,2016-01-04 00:00:00,4.3
Christie,2016-01-04 00:00:00,4.8
Paul,2016-01-04 00:00:00,2.8
Kasich,2016-01-04 00:00:00,1.8
Huckabee,2016-01-04 00:00:00,2.0
Fiorina,2016-01-04 00:00:00,2.5
Santorum,2016-01-04 00:00:00,0.8
Walker,2016-01-04 00:00:00,
Jindal,2016-01-04 00:00:00,
Perry,2016-01-04 00:00:00,
Graham,2016-01-04 00:00:00,0.5
Pataki,2016-01-04 00:00:00,0.0
Trump,2016-01-03 00:00:00,35.0
Cruz,2016-01-03 00:00:00,19.5
Rubio,2016-01-03 00:00:00,11.5
Carson,2016-01-03 00:00:00,8.8
