cand,date,rcp
Christie,2016-01-19 00:00:00,4.2
Santorum,2016-01-19 00:00:00,1.2
Walker,2016-01-19 00:00:00,
Jindal,2016-01-19 00:00:00,
Perry,2016-01-19 00:00:00,
Graham,2016-01-19 00:00:00,
Pataki,2016-01-19 00:00:00,
Trump,2016-01-18 00:00:00,27.8
Cruz,2016-01-18 00:00:00,26.7
Rubio,2016-01-18 00:00:00,11.7
Carson,2016-01-18 00:00:00,8.7
Paul,2016-01-18 00:00:00,3.7
Bush,2016-01-18 00:00:00,4.5
Huckabee,2016-01-18 00:00:00,2.5
Kasich,2016-01-18 00:00:00,2.5
Fiorina,2016-01-18 00:00:00,1.5
Christie,2016-01-18 00:00:00,4.2
Santorum,2016-01-18 00:00:00,1.2
Walker,2016-01-18 00:00:00,
Jindal,2016-01-18 00:00:00,
Perry,2016-01-18 00:00:00,
Graham,2016-01-18 00:00:00,
Pataki,2016-01-18 00:00:00,
Trump,2016-01-17 00:00:00,27.8
Cruz,2016-01-17 00:00:00,26.7
Rubio,2016-01-17 00:00:00,11.7
Carson,2016-01-17 00:00:00,8.7
Paul,2016-01-17 00:00:00,3.7
Bush,2016-01-17 00:00:00,4.5
Huckabee,2016-01-17 00:00:00,2.5
Kasich,2016-01-17 00:00:00,2.5
Fiorina,2016-01-17 00:00:00,1.5
Christie,2016-01-17 00:00:00,4.2
Santorum,2016-01-17 00:00:00,1.2
Walker,2016-01-17 00:00:00,
Jindal,2016-01-17 00:00:00,
Perry,2016-01-17 00:00:00,
Graham,2016-01-17 00:00:00,
Pataki,2016-01-17 00:00:00,
Trump,2016-01-16 00:00:00,27.3
Cruz,2016-01-16 00:00:00,26.9
Rubio,2016-01-16 00:00:00,11.9
Carson,2016-01-16 00:00:00,9.0
Paul,2016-01-16 00:00:00,3.9
Bush,2016-01-16 00:00:00,4.4
Huckabee,2016-01-16 00:00:00,2.4
Kasich,2016-01-16 00:00:00,2.4
Fiorina,2016-01-16 00:00:00,1.7
Christie,2016-01-16 00:00:00,4.0
Santorum,2016-01-16 00:00:00,1.0
Walker,2016-01-16 00:00:00,
Jindal,2016-01-16 00:00:00,
Perry,2016-01-16 00:00:00,
Graham,2016-01-16 00:00:00,
Pataki,2016-01-16 00:00:00,
Trump,2016-01-15 00:00:00,27.3
Cruz,2016-01-15 00:00:00,26.9
Rubio,2016-01-15 00:00:00,11.9
Carson,2016-01-15 00:00:00,9.0
Paul,2016-01-15 00:00:00,3.9
Bush,2016-01-15 00:00:00,4.4
Huckabee,2016-01-15 00:00:00,2.4
Kasich,2016-01-15 00:00:00,2.4
Fiorina,2016-01-15 00:00:00,1.7
Christie,2016-01-15 00:00:00,4.0
Santorum,2016-01-15 00:00:00,1.0
Walker,2016-01-15 00:00:00,
Jindal,2016-01-15 00:00:00,
Perry,2016-01-15 00:00:00,
Graham,2016-01-15 00:00:00,
Pataki,2016-01-15 00:00:00,
Trump,2016-01-14 00:00:00,27.3
Cruz,2016-01-14 00:00:00,26.9
Rubio,2016-01-14 00:00:00,11.9
Carson,2016-01-14 00:00:00,9.0
Paul,2016-01-14 00:00:00,3.9
Bush,2016-01-14 00:00:00,4.4
Huckabee,2016-01-14 00:00:00,2.4
Kasich,2016-01-14 00:00:00,2.4
Fiorina,2016-01-14 00:00:00,1.7
Christie,2016-01-14 00:00:00,4.0
Santorum,2016-01-14 00:00:00,1.0
Walker,2016-01-14 00:00:00,
Jindal,2016-01-14 00:00:00,
Perry,2016-01-14 00:00:00,
Graham,2016-01-14 00:00:00,
Pataki,2016-01-14 00:00:00,
Trump,2016-01-13 00:00:00,26.2
Cruz,2016-01-13 00:00:00,26.7
Rubio,2016-01-13 00:00:00,13.0
Carson,2016-01-13 00:00:00,9.0
Paul,2016-01-13 00:00:00,4.0
Bush,2016-01-13 00:00:00,4.5
Huckabee,2016-01-13 00:00:00,2.5
Kasich,2016-01-13 00:00:00,2.2
Fiorina,2016-01-13 00:00:00,1.8
Christie,2016-01-13 00:00:00,3.8
Santorum,2016-01-13 00:00:00,1.2
Walker,2016-01-13 00:00:00,
Jindal,2016-01-13 00:00:00,
Perry,2016-01-13 00:00:00,
